tweet,label,text_len,tweet_clean,clean_len,label_id
aneh banget anjinkk risih liatnya,disgust,33,aneh banget anjinkk risih liatnya,33,1
"Lagi kau buka ruang untuk terima golongan macamtu, lagi diorg besau kepala. dah tentu tentu benda salah, benda Allah murka. Semua umat Islam tahu, yg bukan Islam pun tahu. Benda mcmni lagi byk negatif dari positif. Ada sbb setiap yg Allah tetapkan. Dan kau cuma hamba biasa. INGAT",anger,280,lagi kau buka ruang untuk terima golongan macamtu lagi diorg besau kepala sudah tentu tentu benda salah benda allah murka semua umat islam tahu yang bukan islam pun tahu benda mcmni lagi banyak negatif dari positif ada sbb setiap yang allah tetapkan dan kau cuma hamba biasa ingat,280,0
Keranda Tok Wan Terbang..terkejut aku dohhh..hujung2 citer ada hantu muncul depan camera..puiihhhh,surprise,98,keranda tok wan terbang terkejut saya dohh hujung2 citer ada hantu muncul depan camera puiihh,93,5
gatau pokoknya w jijik aja,disgust,26,gatau pokoknya saya jijik aja,29,1
"Sebelum ia pergi, kupukul lengan mas Rama pelan. ""Nakal banget,"" bisikku kesal. Nyaris memasang wajah cemberut. Mas Rama ngapain aja sih di Singapura?! Bukannya serius sama kak Vita juga... ndak tau ah. Nanti kalau mas Rama datang aku mau sembunyi saja.",anger,253,sebelum ia pergi kupukul lengan mas rama pelan nakal banget bisikku kesal nyaris memasang wajah cemberut mas rama ngapain aja sih di singapura bukannya serius sama kak vita juga ndak tahu ah nanti kalau mas rama datang saya mau sembunyi saja,241,0
Udh terkejut,surprise,12,sudah terkejut,14,5
ngeri nder,fear,10,ngeri nder,10,2
"satu kepuasan wei,masak subuh2 utk family then diorg makan puas...makan kenyang2 ye supaya ade tenaga nk buat kerja dan please be safe..",joy,136,satu kepuasan wei masak subuh2 untuk family then diorg makan puas makan kenyang2 ye supaya ade tenaga nk buat kerja dan please be safe,134,3
First time aku bangga study mrsm. Hahahahahahahahahahahahahaha. Ni mesti pengaruh ngn .,joy,87,first time saya bangga study mrsm hahahahahahahahahahahahahaha ni mesti pengaruh ngn,84,3
"Ngeliat orang lain susah, ngeliat ortu susah, stress mau kepala 2, kehilangan temen, menyadari terlalu banyak fake friend disekitar kita, inget seseorang yang bikin kita kecewa.",sadness,177,ngeliat orang lain susah ngeliat ortu susah stress mau kepala 2 kehilangan temen menyadari terlalu banyak fake friend disekitar kita inget seseorang yang bikin kita kecewa,171,4
aku ramal cebi bakalan kesal &amp; ngata ngatain durex,anger,54,saya ramal cebi bakalan kesal amp ngata ngatain durex,53,0
"Hi Kak, maaf banget ya udah dibikin cemas. Mimin udah trima info nomor kamu melalui DM nih. Diesok hari mimin coba hubungi ke nomor telepon kamu yaa buat detail case nya. Makasih .^BY",fear,183,hi kak maaf banget ya sudah dibikin cemas mimin sudah trima info nomor kamu melalui dm nih diesok hari mimin coba hubungi ke nomor telepon kamu yaa buat detail case nya makasih by,179,2
Ngeri kali bu,fear,13,ngeri kali bu,13,2
Alhamdulillah syukur masih ada badan dan mampu bekerja....,joy,58,alhamdulillah syukur masih ada badan dan mampu bekerja,54,3
Mangatss jgn lupa selalu berdoa biar ga gugup^^,joy,47,mangatss jgn lupa selalu berdoa supaya tidak gugup,50,3
iy kan ak suka ngeliatin knp km suka senyam senyum liatin hp ak kan mau muda juga,joy,81,iy kan ak suka ngeliatin kenapa km suka senyam senyum liatin hp ak kan mau muda juga,84,3
Syukur. Alhamdulillah.,joy,22,syukur alhamdulillah,20,3
KARNA AKU GA DINOTIS DAN AKU KESAL AKU MAU GIVE AWAY KEKESALAN SAMA PULSA 10K UNTUK 1 ORANG GA PAKE SYARAT SYARAT DAH TERSERAH KLEN MO NGAPAIN SELESAI besok HARI SELASA g tau jam brp,anger,182,karena saya tidak dinotis dan saya kesal saya mau give away kekesalan sama pulsa 10k untuk 1 orang tidak pake syarat syarat sudah terserah klen mau ngapain selesai besok hari selasa g tahu jam brp,196,0
"katanya dia seneng bgt bisa perf sama mamo, tp jg gugup nervous bgt. selama latihan merasa banyak dibantu sama mamo, senpai yg baik. trus di animenya kan gaada battle dance, nah di livenya dimasukin (sayang cuma bentar doang battlenya huhu). dan masukin acapella juga huhu.",fear,273,katanya dia seneng banget bisa perf sama mamo tapi juga gugup nervous bgt selama latihan merasa banyak dibantu sama mamo senpai yang baik terus di animenya kan gaada battle dance nah di livenya dimasukin sayang cuma bentar doang battlenya huhu dan masukin acapella juga huhu,274,2
dah boleh cari dan makan puas-puas ni,joy,37,sudah boleh cari dan makan puas-puas ni,39,3
Sendiri dengan rasa ini Sendiri dengan duka ini Karna aku hanya menunggu Rasa ini hilang Untuk tidak mengharapkan mu Terlalu jauh,sadness,129,sendiri dengan rasa ini sendiri dengan duka ini karena saya hanya menunggu rasa ini hilang untuk tidak mengharapkan mu terlalu jauh,131,4
Syukur kaga ada. Udh deg2an,joy,27,syukur kaga ada sudah deg2an,28,3
Baru tdi jam 10 mandi ga juga mau tidur cepet mata tu kyk seger banget jm segini heran,surprise,86,baru tdi jam 10 mandi tidak juga mau tidur cepet mata tu seperti seger banget jm segini heran,93,5
tersinggung saia,anger,16,tersinggung saia,16,0
"As a reward, sbb kecewa dan sedikit marah, aku daftarkan diri aku untuk join satu seminar bisnes ni. Random! tp aku berdoa ianya berbaloi. Ameen!",anger,145,as a reward sbb kecewa dan sedikit marah saya daftarkan diri saya untuk join satu seminar bisnes ni random tapi saya berdoa ianya berbaloi ameen,144,0
pernah dipeluk tapi kok malah risih,disgust,35,pernah dipeluk tapi kok malah risih,35,1
Aku kesal dengan jarak... *auto nyanyi*,anger,39,saya kesal dengan jarak auto nyanyi,35,0
Peluk hati kecil yang penuh dendam ini Ajari tuk menghapus sebuah rasa benci Biarkan kasih lembutmu sentuh hatiku Ubah aku jadi buah hati yang dulu,joy,147,peluk hati kecil yang penuh dendam ini ajari untuk menghapus sebuah rasa benci biarkan kasih lembutmu sentuh hatiku ubah saya jadi buah hati yang dulu,150,3
"pemimpin kita ini kan bodoh makanya ditetapkan ""DARURAT SIPIL"" dia kira sedang perang. atau hanya takut kehilangan kekuasaan?",fear,125,pemimpin kita ini kan bodoh makanya ditetapkan darurat sipil dia kira sedang perang atau hanya takut kehilangan kekuasaan,121,2
Jijik! Najis! Ngapa lu,anger,22,jijik najis ngapa kamu,22,0
"Jijik kali kan via vallen bisanya cuma cover lagu semua orang, nggak kreatif kali, haha tunggu aja lagu kpop ini",disgust,112,jijik kali kan via vallen bisanya cuma cover lagu semua orang tidak kreatif kali haha tunggu aja lagu kpop ini,110,1
"Sedih banget sama orang orang yang mudik.. yaaa kalo udah terlanjur pulang ya isolasi diri dulu gitu kesadaran diri gitu.. tapi sedihnya di ngak sadar, mementingkan diri sendiri,ngak mikir tetangga kanan kiri, keluarga. Di ingetin dia malah marah, ngak diingetin kita resah",sadness,273,sedih banget sama orang orang yang mudik yaa kalau sudah terlanjur pulang ya isolasi diri dulu gitu kesadaran diri gitu tapi sedihnya di ngak sadar mementingkan diri sendiri ngak mikir tetangga kanan kiri keluarga di ingetin dia malah marah ngak diingetin kita resah,266,4
Puas dpt gelak mcm ni,joy,21,puas dapat gelak mcm ni,23,3
"ga heran si kenapa followerku ga naik ternyata aku suka blokir org yg songong kalo di ajak jbjb ga prnah ngerespon, sok ngartis lagi..",surprise,134,tidak heran si kenapa followerku tidak naik ternyata saya suka blokir orang yang songong kalau di ajak jbjb tidak prnah ngerespon sok ngartis lagi,146,5
"Pertanda baik buat pasangan. Konsisten, kalo udah benci yaudah benci terus ahahahahahha",joy,87,pertanda baik buat pasangan konsisten kalau sudah benci yaudah benci terus ahahahahahha,87,3
"Youn murka [aww takut] Youn: hssjjsjs LU! YG BENER AJA, BEGINIAN LU TANYA KE GUE? GUE SAMBIT LU YA SJSKKLLLQ uyon marah huftt, formasi panjat pinang melorot dan ambruk satu2, menyisakan Hangyul diatas masih usahain ambil mejikom dan sepeda family. Weiyoun baku hantam xixixix",joy,275,youn murka aww takut youn hssjjsjs lu yang bener aja beginian kamu tanya ke gue saya sambit kamu ya sjskkllq uyon marah huftt formasi panjat pinang melorot dan ambruk satu2 menyisakan hangyul diatas masih usahain ambil mejikom dan sepeda family weiyoun baku hantam xixixix,272,3
"Enaknya,bocah aku yg jadi perannya,,,panting aku puas'in sampe bener"" berdua puas",joy,81,enaknya bocah saya yang jadi perannya panting saya puas'in sampai bener berdua puas,83,3
"Aku bangga dgn UAS yg pandai dan rendah hati, tapi tdk kpd anda.",joy,64,saya bangga dengan uas yang pandai dan rendah hati tapi tidak kepada anda,73,3
Lagu lama di putar2 malu uang rakyat buat gaji dirimu.....wahai kpk,sadness,67,lagu lama di putar2 malu uang rakyat buat gaji dirimu wahai kpk,63,4
Aku masih sedih. Aku masih marah. Aku masih kecewa. Aku masih ingin berteriak. Tapi aku tak dendam. Tapi aku tak benci. Tapi apa pedulimu?,anger,138,saya masih sedih saya masih marah saya masih kecewa saya masih ingin berteriak tapi saya tidak dendam tapi saya tidak benci tapi apa pedulimu,141,0
Main santuy banget mereka tuh hih kesal,anger,39,main santai banget mereka tuh hih kesal,39,0
selalu dijudge org lain even until now so I know gimana rasanya dijudge org2 in conclusion lemme make it short gw tidak mao menghabiskan waktu fangirling gw untuk membenci sesuatu yg bahkan mungkin bias2 gw ga benci...gw jelas tyda muda lagi udah mo menuju 40 thn -c-,sadness,267,selalu dijudge orang lain even until now so i know bagaimana rasanya dijudge org2 in conclusion lemme make it short saya tidak mao menghabiskan waktu fangirling saya untuk membenci sesuatu yang bahkan mungkin bias2 saya tidak benci gw jelas tyda muda lagi sudah mau menuju 40 thn -c-,283,4
Wkwkkw gua juga ngeri,fear,21,wkwkkw gua juga ngeri,21,2
"ambil dah, muak bgt gue",disgust,23,ambil dah muak banget saya,26,1
"aku kalo pengen kenalan sama orang di rl, tapi gugup, pasti selalu pengen ngajak ngomong pake bahasa inggris, tapi ketahan duluan sama malu",fear,139,saya kalau pengen kenalan sama orang di rl tapi gugup pasti selalu pengen ngajak ngomong pake bahasa inggris tapi ketahan duluan sama malu,138,2
kenapa? murka nya bruntusan?,surprise,28,kenapa murka nya bruntusan,26,5
SUDAH PUAS SAYA PANTAU SAATNYA MENYELEDING KALIAN SEMUA,joy,55,sudah puas saya pantau saatnya menyeleding kalian semua,55,3
"Part terbaik: doi main ke rumah w, pacar w nelepon. Anjir gue panik. Gue jawab gugup, di depan doi juga gue gugup.",fear,114,part terbaik doi main ke rumah w pacar saya nelepon anjir saya panik saya jawab gugup di depan doi juga saya gugup,114,2
Duka daya ne sai dai idan photoshop kikayi kika turo mishi,sadness,58,duka daya ne sai dai idan photoshop kikayi kika turo mishi,58,4
h-hai ak zahra [gugup],fear,22,h-hai ak zahra gugup,20,2
Ya susah sih sekarang mah lebih ke ga percaya dan takut,fear,55,ya susah sih sekarang mah lebih ke tidak percaya dan takut,58,2
Kemana mana hatiku senang !,joy,27,kemana mana hatiku senang,25,3
"Tadi aku main cuit cuit tek bapak aku sekali dia terkejut, tangan dia terkaut bibir aku. Bengkak boleh bibir nya. Hahahahaha my bad.",joy,132,tadi saya main cuit cuit tek bapak saya sekali dia terkejut tangan dia terkaut bibir aku bengkak boleh bibir nya hahahahaha my bad,130,3
kak kikaaa semangat sidangnya!!! semoga lancar dan ga gugup selama sidang,fear,73,kak kikaa semangat sidangnya semoga lancar dan tidak gugup selama sidang,72,2
Penat mengharap,disgust,15,penat mengharap,15,1
Nampak penat sangat tu,disgust,22,nampak penat sangat tu,22,1
jijik w sob,disgust,11,jijik saya sob,14,1
Sudah bosan dan muak ya? Wkwkwkkw,disgust,33,sudah bosan dan muak ya wkwkwkkw,32,1
Boleh dong dengan senang hati,joy,29,boleh dong dengan senang hati,29,3
Jangan membuat murka pemiliknya,fear,31,jangan membuat murka pemiliknya,31,2
kalo mereka murka gimana bri,surprise,28,kalau mereka murka bagaimana bri,32,5
Rumah aku itu kontrakan. Cmn ada 2 doang. Tiap hujan atau kotor dia atau suaminya mana mau bersihin lantai dpn rumahnya. Hii jijik aku.,disgust,135,rumah saya itu kontrakan cmn ada 2 doang tiap hujan atau kotor dia atau suaminya mana mau bersihin lantai dpn rumahnya hii jijik aku,132,1
Jijik bgt anjay,disgust,15,jijik banget anjay,18,1
"Ngeri bgt kl wfh an uda slese, jam tidur w masih kacau balao",fear,60,ngeri banget kl wfh an uda slese jam tidur saya masih kacau balao,65,2
Dunia sedang dirundung duka akibat wabah covid19. Tapi disini masih menanggapinya dengan lelucon dari pemeran yg sama.,sadness,118,dunia sedang dirundung duka akibat wabah covid19 tapi disini masih menanggapinya dengan lelucon dari pemeran yang sama,118,4
"HAMPIR SEMUA cowok BERHASIL MEMBUAT AKU MUAK, MAAF.",disgust,51,hampir semua cowok berhasil membuat saya muak maaf,50,1
harus bangga dong :v,joy,20,harus bangga dong v,19,3
Heran gua iklan pembalut kaga pernah di contohin kaya iklan pasta gigi,surprise,70,heran gua iklan pembalut kaga pernah di contohin kaya iklan pasta gigi,70,5
Cwo yg diem juga tetep ngeri,fear,28,cwo yang diem juga tetep ngeri,30,2
"Nggakk, kadang jijik",disgust,20,nggakk kadang jijik,19,1
aku cem gini ko jijik gak,disgust,25,saya cem gini ko jijik tidak,28,1
Pelajarannya ialah jangan pernah remehkan sentuhan lembut Ibumu. Ajaib rasanya. Jangan pernah sungkan menceritakan keluh kesahmu kepada ibumu. Karena itu sangat menenangkan. Jangan pernah malu meminta nasehatnya. Karena bisa jadi itu sebuah petunjuk untukmu.,sadness,258,pelajarannya ialah jangan pernah remehkan sentuhan lembut ibumu ajaib rasanya jangan pernah sungkan menceritakan keluh kesahmu kepada ibumu karena itu sangat menenangkan jangan pernah malu meminta nasehatnya karena bisa jadi itu sebuah petunjuk untukmu,252,4
"PERNAH DIPUTUSIN GEGARA TEMEN COWO NGEBALES STORY IG ""EH SIA TIIRAHA RESEP KOPI"" DOI LANGSUNG MURKA DAN AING GA NYESEL NGEIYAIN PAS DIA BILANG PUTUS.",anger,149,pernah diputusin gegara temen cowo ngebales story ig eh sia tiiraha resep kopi doi langsung murka dan aing tidak nyesel ngeiyain pas dia bilang putus,149,0
"Syukur, sampai saat ini, belum ada yang menjadi pasien suspeck virus corona, baik yang sudah ada di Aceh, atau mereka yang masih di Tiongkok, termasuk 13 orang di Wuhan, Hubei.",joy,176,syukur sampai saat ini belum ada yang menjadi pasien suspeck virus corona baik yang sudah ada di aceh atau mereka yang masih di tiongkok termasuk 13 orang di wuhan hubei,169,3
"Udah 2020 masi ada yg ngomong2 cebong kampret, heran",surprise,52,sudah 2020 masi ada yang ngomong2 cebong kampret heran,54,5
Dulu ngeyel Kini rewel Heran saja dengan pembisiknya.,surprise,53,dulu ngeyel kini rewel heran saja dengan pembisiknya,52,5
Aku terpesona dgn rencana tuhan yg bg2 sempurna mengatur segala hal . Dan aku mulai mengerti bahwa kesabaran adalah kunci utama .,surprise,129,saya terpesona dengan rencana tuhan yang bg2 sempurna mengatur segala hal dan saya mulai mengerti bahwa kesabaran adalah kunci utama,132,5
"abis nonton cloy, yg lain terpesona sama kapten ri gue sama kakaknya... gagah betul, wibawanya dapet sekali",surprise,107,habis nonton cloy yang lain terpesona sama kapten ri saya sama kakaknya gagah betul wibawanya dapet sekali,106,5
iyanih jijik dahh,disgust,17,iyanih jijik dahh,17,1
pernah nonton film sii PITUNG .. yang seperti di ini di sebut apa ayooo ? sama pribumi benci.. sama LONDO dan Chino hormat dan takut nya kayak centeng...,anger,153,pernah nonton film sii pitung yang seperti di ini di sebut apa ayoo sama pribumi benci sama londo dan chino hormat dan takut nya seperti centeng,144,0
"minder + bangga la wkwkw Tapi dominan bangga si, gils jarang2 punya cowo ip 4",joy,77,minder bangga la wkwkw tapi dominan bangga si gils jarang2 punya cowo ip 4,74,3
Iyola kalo anak sstann ngeri plo,fear,32,iyola kalau anak sstann ngeri plo,33,2
Kan aku tersinggung,anger,19,kan saya tersinggung,20,0
22. Sebel sama rp yang mau temenan tapi liat liat followers. Aku benci rp fakboi dan juga pelakor bawaannya pengen jambak ginjalnya,anger,131,22 sebel sama rp yang mau temenan tapi liat liat followers saya benci rp fakboi dan juga pelakor bawaannya pengen jambak ginjalnya,130,0
Padahal menurut gw mbak itu universal loh bs dipake kl ga yakin sm status/usia yg disapa. dibanding tb2 manggil bu taunya yg dipanggil masi muda/blm nikah. Lagian ngapain si tersinggung anjir kl sama ama ART em km sp,anger,216,padahal menurut saya mbak itu universal loh bisa dipake kl tidak yakin sama status usia yang disapa dibanding tb2 manggil bu taunya yang dipanggil masi muda blm nikah lagian ngapain si tersinggung anjir kl sama sama art em km sp,228,0
Sebagai yang fanatik bola saya merasa tersinggung,anger,49,sebagai yang fanatik bola saya merasa tersinggung,49,0
"Ngeri ngeri sedap ngebaca. Yg pingin cerita horor, so sangat recommended!",fear,73,ngeri ngeri sedap ngebaca yang pingin cerita horor so sangat recommended,72,2
"Alhamdulillah bunda Seandainya aq deket sm bunda mungkin kita bisa berbagi Suka maupun duka,,",sadness,93,alhamdulillah bunda seandainya aq deket sama bunda mungkin kita bisa berbagi suka maupun duka,93,4
Tetep benci. Caper mulu ke the boys,anger,35,tetep benci caper mulu ke the boys,34,0
"Bukan masalah salahnya di mana,,tapi banyak yang tersinggung kalau sebut macam macam maksiat tersebut,,",anger,103,bukan masalah salahnya di mana tapi banyak yang tersinggung kalau sebut macam macam maksiat tersebut,100,0
Ngomong dong kalo tersinggung. Tetiba ngetwit gini kan aku jd semakin ingin menghujat,anger,85,ngomong dong kalau tersinggung tetiba ngetwit gini kan saya jadi semakin ingin menghujat,88,0
Yg goblok itu manusia yg seneng dirinya di jajah trs sampe mati. Scopus itu produk penjahan baru terhadap intelektualitas. Coba tanya pak rocky gerung apakah dia trtarik dgn ID Scopus?? Saya yakin dia jg muak dgn praktik tolol duni pendidikan sprti ini,anger,252,yang goblok itu manusia yang seneng dirinya di jajah terus sampai mati scopus itu produk penjahan baru terhadap intelektualitas coba tanya pak rocky gerung apakah dia trtarik dengan id scopus saya yakin dia juga muak dengan praktik tolol duni pendidikan seperti ini,265,0
"Aaaa makasih, Pia Aamiin ya Allah. Semoga aja menjadi tahun terbaik hiks [aww merasa malu,,,,]",anger,94,aa makasih pia aamiin ya allah semoga aja menjadi tahun terbaik hiks aww merasa malu,84,0
malu banget pastinya,sadness,20,malu banget pastinya,20,4
Lagi merasa kecewa setelah ditinggalkan,sadness,39,lagi merasa kecewa setelah ditinggalkan,39,4
Aku tertipu aku terjebak,surprise,24,saya tertipu saya terjebak,26,5
"cik atuh lah ulah balalaga kitu nu jd re-seller teh, sawajarna. urg bangga make brand local, tp mun kitu2 teuing mah hoream makena ge.",joy,134,cik atuh lah ulah balalaga kitu nu jadi re-seller teh sawajarna urg bangga make brand local tapi mun kitu2 teuing mah hoream makena ge,134,3
Semoga yang berjualan dan para pembeli di berikan murka oleh sang pencipta . Amin,anger,81,semoga yang berjualan dan para pembeli di berikan murka oleh sang pencipta amin,79,0
Mari kita bersenang senang,joy,26,mari kita bersenang senang,26,3
Assalam. Tak puas hati ckp dpn jgn simpan.,anger,42,assalam tidak puas hati ckp dpn jgn simpan,42,0
Risih,disgust,5,risih,5,1
ngeri banget. lagi pandemi gini banyak akun provokator,fear,54,ngeri banget lagi pandemi gini banyak akun provokator,53,2
Kirain dimatiin.. Syukur deh nyala lagi mah,joy,43,kirain dimatiin syukur deh nyala lagi mah,41,3
Kudune tuhan e yo mbok benci jg,anger,31,kudune tuhan e ya mbok benci juga,33,0
"Tetep semangat ka, jan gugup terus sidangnya diberi kemudahan dan diberi kelancaran, nilainya memuaskan dan bisa banggakan ortunya serta bangtan :3",fear,147,tetep semangat ka jan gugup terus sidangnya diberi kemudahan dan diberi kelancaran nilainya memuaskan dan bisa banggakan ortunya serta bangtan 3,144,2
Thankyou bikin kesal dimalam hari.,anger,34,thankyou bikin kesal dimalam hari,33,0
Aku juga gitu nder. Bahkan gampang bgt kecewa. Mungkin kalo hilang sesaat cuma sadness aja kali ya. Caranya aku suka istigfar sama meremin mata 20detik. Atur nafas trs agak baikan.,sadness,180,saya juga gitu nder bahkan gampang banget kecewa mungkin kalau hilang sesaat cuma sadness aja kali ya caranya saya suka istigfar sama meremin mata 20detik atur nafas terus agak baikan,183,4
Jan sampe pak sungkana murka,fear,28,jan sampai pak sungkana murka,29,2
"hii kak, kmrn saya ada nanya2 ttg pascabayar tri. Kok blm ada jawabannya yak? Apakah emg ga ada layanan pascabayar di 3 ato gimana nih kak Kita kan jadi kecewa",sadness,159,hii kak kmrn saya ada nanya2 tentang pascabayar tri kok belum ada jawabannya yak apakah memang tidak ada layanan pascabayar di 3 ato bagaimana nih kak kita kan jadi kecewa,171,4
Penat dgn semua benda,disgust,21,penat dengan semua benda,24,1
Gue dibeda2in gini tu ternyata ibuku juga ngeh. Ibu juga sedih.,sadness,63,saya dibeda2in gini tu ternyata ibuku juga ngeh ibu juga sedih,62,4
Capek bangetsss. Mana laper lagi Tadi ceritanya mau balik sekalian beli makan. Tapi malah di ikutin salah satu orang kantor. Kan risih kalo berhenti terus di ikutin,disgust,164,capek bangetss mana laper lagi tadi ceritanya mau balik sekalian beli makan tapi malah di ikutin salah satu orang kantor kan risih kalau berhenti terus di ikutin,161,1
bodo aku duduk kat dapur record untuk presentation tiba bapak aku datang sebab dahaga aku terkejut ingatkan hantu,surprise,113,bodo saya duduk kat dapur record untuk presentation tiba bapak saya datang sebab dahaga saya terkejut ingatkan hantu,116,5
Kecewa jir di bandung sama surabaya aja ada,sadness,43,kecewa jir di bandung sama surabaya aja ada,43,4
Penat la penat aku nak nangis,sadness,29,penat la penat saya nak nangis,30,4
"Udah muak, heran ya dilarang salah dibolehin salah",surprise,50,sudah muak heran ya dilarang salah dibolehin salah,50,5
JIJIK!,disgust,6,jijik,5,1
Itu muka kesal.,anger,15,itu muka kesal,14,0
Njirr senjatanya ngeri,fear,22,njirr senjatanya ngeri,22,2
Bisa ga juliden ini dibikin sengsara idupnya trus mati lgsung Gregetttt lurrr,anger,77,bisa tidak juliden ini dibikin sengsara idupnya terus mati lgsung gregett lurr,78,0
gue ngeri itu orang kecebur menk,fear,32,saya ngeri itu orang kecebur menk,33,2
"ANJIR MAU POUCHNYA, JAN SAMPE GUA MURKA",anger,39,anjir mau pouchnya jan sampai gua murka,39,0
Dahh muak gue,disgust,13,dahh muak saya,14,1
Ehekk malu la hahahahahahaha,sadness,28,ehekk malu la hahahahahahaha,28,4
Hei coba dengarkanlah harapan aku ini semoga kau dan aku selalu menjadi teman hidupmu dalam suka maupun duka gigigitch dan CiGi,sadness,127,hei coba dengarkanlah harapan saya ini semoga kau dan saya selalu menjadi teman hidupmu dalam suka maupun duka gigigitch dan cigi,129,4
Ak kalo gugup pen berak,fear,23,ak kalau gugup pen berak,24,2
"Mana mungkin orang yg gak pernah bertemu bertahun-tahun dan gak pernah saling bicara tiba-tiba bisa senyaman itu. Uda pasti bakalan lebih banyak grogi, gugup, dan salting. Apalagi kalo dua-duanya sama-sama pendiam dan pemalu. Dan itu sangat wajar...",fear,249,mana mungkin orang yang tidak pernah bertemu bertahun-tahun dan tidak pernah saling bicara tiba-tiba bisa senyaman itu uda pasti bakalan lebih banyak grogi gugup dan salting apalagi kalau dua-duanya sama-sama pendiam dan pemalu dan itu sangat wajar,248,2
Makasih loh ya [aww merasa malu],anger,32,makasih loh ya aww merasa malu,30,0
Janji jiwa sek mgkn wkw ya kita gatau kan ada yg tersinggung ga kl ngasih2,anger,74,janji jiwa sek mgkn wkw ya kita gatau kan ada yang tersinggung tidak kl ngasih2,79,0
Perlu di musnahkan penyakit itu saya sudah jijik,disgust,48,perlu di musnahkan penyakit itu saya sudah jijik,48,1
tapii aku tidakk islammphobia kaya org openminded lainnyaaa (mrsa bangga),joy,73,tapii saya tidakk islammphobia kaya orang openminded lainnyaa mrsa bangga,73,3
kayaknya tweet jadul paling menjijikan dr gw cuma pas tahun 2010 ngelabrak (((MAAF AKU SENDIRI JG JIJIK))) ade kelas gara2 ngedeketin pacar masa sma,disgust,148,kayaknya tweet jadul paling menjijikan dari saya cuma pas tahun 2010 ngelabrak maaf saya sendiri juga jijik ade kelas gara2 ngedeketin pacar masa sma,149,1
"lisa ni pas jadi mentor terus ngoreksi trainees serem amat bangsat, aku ngeri. mukanya datar, gatau salah apa ngga.",fear,115,lisa ni pas jadi mentor terus ngoreksi trainees serem amat bangsat saya ngeri mukanya datar gatau salah apa ngga,112,2
"Dikata sama bbeb sndiri ""jijik ih kaki km item belang"" pdhal abis diajak liburan panasan sama dia, langsung minder seketika",sadness,123,dikata sama bbeb sndiri jijik ih kaki km item belang pdhal habis diajak liburan panasan sama dia langsung minder seketika,121,4
"Udah langsung lapor2 kang? Org skrg jarang bawa duit cash banyak, ngeri duit plastiknya aja...",fear,94,sudah langsung lapor2 kang orang skrg jarang bawa duit cash banyak ngeri duit plastiknya aja,92,2
Ngeri anjir si Charlotte :'(,fear,28,ngeri anjir si charlotte ',26,2
Saya murka,anger,10,saya murka,10,0
